month,project,location,beneficiary_target,beneficiary_reached,budget,expense,utilization_rate,quality_issues,status
2026-09,Women Empowerment,Khulna,339,239,240657.01,254266.96,1.0566,1,On track
2026-09,Women Empowerment,Rajshahi,306,325,117446.18,112946.63,0.9617,1,On track
2026-10,Education,Dhaka,253,197,145243.32,138435.42,0.9531,4,Delayed
2026-10,Education,Chattogram,391,296,134605.18,145114.05,1.0781,5,On track
2026-10,Education,Khulna,270,184,131173.02,102921.84,0.7846,1,At risk
2026-10,Education,Rajshahi,186,174,175552.41,162289.17,0.9244,3,At risk
2026-10,Primary Health,Dhaka,156,119,124420.78,94705.79,0.7612,5,Delayed
2026-10,Primary Health,Chattogram,358,306,115919.21,97670.63,0.8426,6,On track
2026-10,Primary Health,Khulna,123,147,163328.5,134668.66,0.8245,1,At risk
2026-10,Primary Health,Rajshahi,236,267,157195.26,121467.09,0.7727,5,Delayed
2026-10,Climate Action,Dhaka,126,96,213066.75,192596.36,0.9039,0,At risk
2026-10,Climate Action,Chattogram,323,348,283917.16,247940.17,0.8733,5,On track
2026-10,Climate Action,Khulna,160,130,233739.16,246151.26,1.0531,5,At risk
2026-10,Climate Action,Rajshahi,114,79,105678.17,97288.76,0.9206,1,At risk
2026-10,Women Empowerment,Dhaka,373,379,121469.44,121626.08,1.0013,2,At risk
2026-10,Women Empowerment,Chattogram,296,255,246423.02,269331.54,1.093,7,Delayed
2026-10,Women Empowerment,Khulna,88,87,136934.59,152327.56,1.1124,5,Delayed
2026-10,Women Empowerment,Rajshahi,251,186,150813.52,142773.75,0.9467,3,Delayed
2026-11,Education,Dhaka,301,296,97536.7,92180.64,0.9451,6,Delayed
2026-11,Education,Chattogram,187,166,195510.26,169892.31,0.869,0,At risk
2026-11,Education,Khulna,122,140,117208.64,102694.33,0.8762,3,At risk
2026-11,Education,Rajshahi,112,109,289050.47,206015.75,0.7127,6,Delayed
2026-11,Primary Health,Dhaka,358,406,77965.3,85378.9,1.0951,3,At risk
2026-11,Primary Health,Chattogram,225,227,134925.04,142441.94,1.0557,3,On track
2026-11,Primary Health,Khulna,324,307,279696.93,211453.24,0.756,1,Delayed
2026-11,Primary Health,Rajshahi,310,298,106381.4,117684.59,1.1063,6,At risk
2026-11,Climate Action,Dhaka,93,83,240192.22,225795.17,0.9401,0,At risk
2026-11,Climate Action,Chattogram,160,131,77987.68,62314.18,0.799,0,On track
2026-11,Climate Action,Khulna,219,158,73370.94,70660.17,0.9631,5,At risk
2026-11,Climate Action,Rajshahi,126,130,255750.05,195836.97,0.7657,3,Delayed
2026-11,Women Empowerment,Dhaka,408,370,120635.78,103210.62,0.8556,3,Delayed
2026-11,Women Empowerment,Chattogram,177,188,143893.39,150166.27,1.0436,4,On track
2026-11,Women Empowerment,Khulna,155,164,279088.03,239722.77,0.859,4,At risk
2026-11,Women Empowerment,Rajshahi,352,382,67250.9,59050.94,0.8781,2,Delayed
2026-12,Education,Dhaka,262,217,232284.59,249942.67,1.076,0,Delayed
2026-12,Education,Chattogram,384,380,275724.81,297317.68,1.0783,1,On track
2026-12,Education,Khulna,382,259,253719.19,222450.4,0.8768,0,At risk
2026-12,Education,Rajshahi,225,260,56313.23,44949.06,0.7982,1,On track
2026-12,Primary Health,Dhaka,411,492,200367.44,211061.34,1.0534,7,Delayed
2026-12,Primary Health,Chattogram,293,219,150290.07,141480.91,0.9414,6,At risk
2026-12,Primary Health,Khulna,292,318,109203.27,99615.24,0.9122,4,On track
2026-12,Primary Health,Rajshahi,371,341,136787.67,149526.33,1.0931,4,On track
2026-12,Climate Action,Dhaka,97,73,131869.59,108581.5,0.8234,2,On track
2026-12,Climate Action,Chattogram,321,265,69612.07,69960.62,1.005,3,On track
2026-12,Climate Action,Khulna,278,190,96306.0,77436.44,0.8041,3,Delayed
2026-12,Climate Action,Rajshahi,129,91,69653.93,64036.84,0.9194,1,At risk
2026-12,Women Empowerment,Dhaka,185,191,199108.97,208538.01,1.0474,0,On track
2026-12,Women Empowerment,Chattogram,268,230,111672.94,112399.8,1.0065,5,At risk
2026-12,Women Empowerment,Khulna,233,218,271251.06,296603.8,1.0935,6,Delayed
2026-12,Women Empowerment,Rajshahi,248,192,159071.76,179324.7,1.1273,6,Delayed
