SalesLineKey,OrderID,OrderDate,ShipDate,CustomerKey,ProductKey,RegionKey,Channel,Quantity,UnitPrice,DiscountPct,Revenue,Cost,GrossProfit
L0248,O0124,2026-08-05,2026-08-06,C005,P102,R04,Partner,6,29.4,0.1,158.76,108.0,50.76
L0249,O0125,2026-03-04,2026-03-06,C030,P104,R03,Retail,5,22.29,0,111.45,60.0,51.45
L0250,O0125,2025-11-04,2025-11-11,C040,P101,R01,Online,1,25.27,0,25.27,14.0,11.27
L0251,O0126,2026-08-25,2026-08-31,C027,P105,R02,Retail,5,29.03,0.1,130.64,75.0,55.64
L0252,O0126,2025-08-20,2025-08-26,C010,P107,R03,Retail,7,40.72,0.15,242.28,168.0,74.28
L0253,O0127,2025-05-26,2025-05-27,C009,P102,R04,Partner,3,31.02,0.05,88.41,54.0,34.41
L0254,O0127,2025-08-16,2025-08-23,C043,P107,R02,Retail,1,40.93,0.15,34.79,24.0,10.79
L0255,O0128,2026-03-22,2026-03-28,C005,P104,R04,Partner,1,24.03,0.15,20.43,12.0,8.43
L0256,O0128,2025-07-04,2025-07-05,C018,P110,R03,Partner,1,35.43,0,35.43,19.0,16.43
L0257,O0129,2025-07-19,2025-07-20,C014,P105,R03,Retail,2,29.15,0.1,52.47,30.0,22.47
L0258,O0129,2026-07-13,2026-07-18,C049,P112,R04,Retail,5,32.36,0.15,137.53,80.0,57.53
L0259,O0130,2026-10-02,2026-10-08,C029,P111,R04,Partner,4,50.77,0.05,192.93,124.0,68.93
L0260,O0130,2026-06-18,2026-06-21,C026,P108,R03,Retail,6,4.25,0.1,22.95,12.0,10.95
L0261,O0131,2026-10-19,2026-10-26,C023,P109,R02,Partner,6,6.45,0.05,36.77,21.0,15.77
L0262,O0131,2025-12-01,2025-12-03,C049,P111,R04,Online,3,59.07,0.05,168.35,93.0,75.35
L0263,O0132,2025-06-21,2025-06-27,C036,P109,R01,Retail,2,7.35,0,14.7,7.0,7.7
L0264,O0132,2025-03-06,2025-03-07,C022,P104,R03,Online,6,25.27,0.15,128.88,72.0,56.88
L0265,O0133,2026-11-12,2026-11-19,C025,P104,R04,Partner,2,25.14,0,50.28,24.0,26.28
L0266,O0133,2025-07-15,2025-07-21,C019,P103,R02,Partner,5,41.98,0.05,199.4,110.0,89.4
L0267,O0134,2025-12-08,2025-12-14,C012,P110,R01,Partner,7,33.52,0,234.64,133.0,101.64
L0268,O0134,2026-12-07,2026-12-14,C030,P106,R03,Partner,6,173.01,0,1038.06,660.0,378.06
L0269,O0135,2025-05-14,2025-05-20,C038,P111,R03,Partner,4,59.07,0.15,200.84,124.0,76.84
L0270,O0135,2025-12-15,2025-12-20,C059,P108,R02,Retail,1,4.35,0.15,3.7,2.0,1.7
L0271,O0136,2025-09-22,2025-09-28,C034,P112,R03,Online,3,32.46,0.1,87.64,48.0,39.64
L0272,O0136,2026-08-24,2026-08-30,C006,P105,R03,Retail,4,26.52,0.1,95.47,60.0,35.47
L0273,O0137,2026-05-11,2026-05-18,C017,P105,R04,Retail,4,27.76,0.1,99.94,60.0,39.94
L0274,O0137,2026-07-20,2026-07-25,C052,P109,R01,Online,1,6.78,0.05,6.44,3.5,2.94
L0275,O0138,2025-01-23,2025-01-24,C032,P105,R01,Retail,2,27.21,0.15,46.26,30.0,16.26
L0276,O0138,2026-08-08,2026-08-12,C038,P112,R03,Retail,3,29.53,0.1,79.73,48.0,31.73
L0277,O0139,2025-04-03,2025-04-09,C054,P103,R03,Retail,1,42.8,0.15,36.38,22.0,14.38
L0278,O0139,2026-09-05,2026-09-08,C011,P108,R02,Partner,5,3.89,0.15,16.53,10.0,6.53
L0279,O0140,2026-06-17,2026-06-23,C011,P101,R02,Online,1,24.08,0.1,21.67,14.0,7.67
L0280,O0140,2025-12-18,2025-12-22,C001,P112,R04,Online,6,30.81,0,184.86,96.0,88.86
L0281,O0141,2026-07-27,2026-08-01,C053,P108,R04,Retail,7,4.11,0.15,24.45,14.0,10.45
L0282,O0141,2025-02-11,2025-02-16,C004,P110,R01,Retail,4,38.06,0.15,129.4,76.0,53.4
L0283,O0142,2026-06-10,2026-06-11,C004,P110,R01,Online,3,37.16,0.1,100.33,57.0,43.33
L0284,O0142,2026-07-31,2026-08-03,C048,P103,R01,Partner,1,38.91,0,38.91,22.0,16.91
L0285,O0143,2025-12-21,2025-12-25,C059,P109,R02,Partner,6,6.88,0.1,37.15,21.0,16.15
L0286,O0143,2025-08-30,2025-08-31,C001,P108,R04,Online,5,4.27,0,21.35,10.0,11.35
L0287,O0144,2026-06-10,2026-06-16,C054,P101,R03,Partner,7,22.93,0,160.51,98.0,62.51
L0288,O0144,2025-09-06,2025-09-10,C053,P105,R04,Online,3,28.2,0.05,80.37,45.0,35.37
L0289,O0145,2025-11-02,2025-11-07,C028,P103,R01,Retail,5,39.42,0,197.1,110.0,87.1
L0290,O0145,2025-06-15,2025-06-20,C030,P101,R03,Online,3,26.05,0.1,70.34,42.0,28.34
L0291,O0146,2025-07-16,2025-07-18,C048,P110,R01,Partner,7,37.69,0.05,250.64,133.0,117.64
L0292,O0146,2025-04-26,2025-05-03,C011,P104,R02,Retail,7,21.61,0,151.27,84.0,67.27
L0293,O0147,2026-12-31,2027-01-04,C038,P108,R03,Retail,5,4.0,0.15,17.0,10.0,7.0
L0294,O0147,2026-02-21,2026-02-27,C002,P103,R03,Retail,5,38.19,0.1,171.85,110.0,61.85
L0295,O0148,2025-06-27,2025-07-02,C039,P106,R02,Partner,7,184.33,0.05,1225.79,770.0,455.79
L0296,O0148,2026-09-29,2026-10-03,C030,P109,R03,Online,6,7.14,0,42.84,21.0,21.84
L0297,O0149,2026-06-10,2026-06-17,C038,P106,R03,Retail,6,175.87,0.05,1002.46,660.0,342.46
L0298,O0149,2025-09-06,2025-09-09,C014,P101,R03,Retail,2,25.42,0,50.84,28.0,22.84
L0299,O0150,2026-09-11,2026-09-14,C015,P111,R02,Partner,3,56.09,0.15,143.03,93.0,50.03
L0300,O0150,2025-04-23,2025-04-26,C032,P111,R01,Partner,5,60.03,0.1,270.13,155.0,115.13
L0301,O0151,2026-06-17,2026-06-22,C040,P110,R01,Retail,3,32.39,0,97.17,57.0,40.17
L0302,O0151,2026-12-10,2026-12-14,C028,P109,R01,Online,2,7.67,0.1,13.81,7.0,6.81
L0303,O0152,2025-10-11,2025-10-17,C002,P108,R03,Partner,2,3.99,0,7.98,4.0,3.98
L0304,O0152,2025-07-23,2025-07-29,C038,P108,R03,Online,4,4.15,0.15,14.11,8.0,6.11
L0305,O0153,2025-08-01,2025-08-07,C011,P110,R02,Partner,4,36.38,0,145.52,76.0,69.52
L0306,O0153,2025-09-20,2025-09-21,C019,P102,R02,Partner,6,29.74,0,178.44,108.0,70.44
L0307,O0154,2026-03-21,2026-03-22,C027,P107,R02,Partner,4,45.16,0,180.64,96.0,84.64
L0308,O0154,2026-07-19,2026-07-26,C047,P107,R02,Partner,1,41.45,0.1,37.31,24.0,13.31
L0309,O0155,2026-02-10,2026-02-16,C019,P101,R02,Retail,5,25.24,0.15,107.27,70.0,37.27
L0310,O0155,2026-05-15,2026-05-20,C045,P107,R04,Retail,7,44.77,0.05,297.72,168.0,129.72
L0311,O0156,2025-05-06,2025-05-12,C035,P105,R02,Partner,2,28.5,0,57.0,30.0,27.0
L0312,O0156,2026-07-31,2026-08-03,C023,P110,R02,Retail,2,34.26,0.1,61.67,38.0,23.67
L0313,O0157,2025-06-03,2025-06-06,C023,P103,R02,Retail,5,40.71,0.1,183.2,110.0,73.2
L0314,O0157,2025-03-18,2025-03-22,C020,P101,R01,Retail,3,22.81,0,68.43,42.0,26.43
L0315,O0158,2025-10-31,2025-11-03,C004,P111,R01,Online,7,53.33,0.05,354.64,217.0,137.64
L0316,O0158,2025-07-12,2025-07-19,C037,P107,R04,Retail,5,45.72,0,228.6,120.0,108.6
L0317,O0159,2026-05-08,2026-05-12,C037,P105,R04,Retail,1,30.79,0.1,27.71,15.0,12.71
L0318,O0159,2026-01-13,2026-01-20,C047,P106,R02,Retail,6,158.67,0.1,856.82,660.0,196.82
L0319,O0160,2026-10-26,2026-10-27,C026,P112,R03,Retail,4,31.95,0.1,115.02,64.0,51.02
L0320,O0160,2025-07-16,2025-07-19,C003,P101,R02,Online,4,24.5,0,98.0,56.0,42.0
L0321,O0161,2025-05-10,2025-05-14,C033,P101,R04,Online,2,22.08,0.05,41.95,28.0,13.95
L0322,O0161,2026-07-26,2026-07-27,C003,P111,R02,Online,2,56.95,0,113.9,62.0,51.9
L0323,O0162,2025-03-28,2025-04-02,C016,P110,R01,Partner,4,37.29,0,149.16,76.0,73.16
L0324,O0162,2026-06-07,2026-06-08,C057,P103,R04,Partner,2,36.56,0.1,65.81,44.0,21.81
L0325,O0163,2025-03-26,2025-03-27,C002,P106,R03,Retail,3,183.98,0.15,469.15,330.0,139.15
L0326,O0163,2025-09-23,2025-09-28,C053,P104,R04,Retail,6,22.5,0.05,128.25,72.0,56.25
L0327,O0164,2025-03-27,2025-04-02,C047,P107,R02,Online,5,45.69,0,228.45,120.0,108.45
L0328,O0164,2026-10-01,2026-10-05,C032,P112,R01,Partner,6,29.97,0.15,152.85,96.0,56.85
L0329,O0165,2025-08-24,2025-08-28,C013,P111,R04,Partner,2,55.53,0.1,99.95,62.0,37.95
L0330,O0165,2026-09-26,2026-09-27,C014,P110,R03,Retail,5,34.19,0.15,145.31,95.0,50.31
L0331,O0166,2026-03-09,2026-03-14,C017,P101,R04,Partner,7,23.24,0,162.68,98.0,64.68
L0332,O0166,2025-09-12,2025-09-17,C016,P112,R01,Online,7,32.09,0,224.63,112.0,112.63
L0333,O0167,2025-11-15,2025-11-22,C049,P105,R04,Online,5,29.17,0.15,123.97,75.0,48.97
L0334,O0167,2026-10-30,2026-10-31,C038,P110,R03,Retail,6,33.27,0.1,179.66,114.0,65.66
L0335,O0168,2025-04-25,2025-04-30,C005,P104,R04,Online,7,24.87,0.15,147.98,84.0,63.98
L0336,O0168,2026-02-06,2026-02-10,C008,P102,R01,Retail,6,29.56,0.05,168.49,108.0,60.49
L0337,O0169,2026-07-23,2026-07-28,C051,P101,R02,Online,4,25.6,0.05,97.28,56.0,41.28
L0338,O0169,2025-05-17,2025-05-19,C017,P105,R04,Retail,6,26.27,0,157.62,90.0,67.62
L0339,O0170,2025-03-06,2025-03-07,C004,P108,R01,Retail,4,3.86,0.1,13.9,8.0,5.9
L0340,O0170,2026-09-13,2026-09-18,C033,P101,R04,Partner,7,23.57,0,164.99,98.0,66.99
L0341,O0171,2026-08-04,2026-08-09,C016,P112,R01,Online,1,28.49,0,28.49,16.0,12.49
L0342,O0171,2025-09-19,2025-09-25,C057,P109,R04,Online,5,7.32,0,36.6,17.5,19.1
L0343,O0172,2025-10-06,2025-10-09,C035,P102,R02,Partner,6,31.13,0.05,177.44,108.0,69.44
L0344,O0172,2026-02-14,2026-02-19,C019,P108,R02,Retail,3,3.83,0.15,9.77,6.0,3.77
L0345,O0173,2026-11-28,2026-12-02,C053,P101,R04,Online,3,24.91,0,74.73,42.0,32.73
L0346,O0173,2025-04-18,2025-04-19,C010,P111,R03,Retail,4,60.43,0.15,205.46,124.0,81.46
L0347,O0174,2026-03-30,2026-04-06,C048,P103,R01,Online,3,39.57,0.15,100.9,66.0,34.9
L0348,O0174,2026-02-14,2026-02-19,C057,P104,R04,Online,6,21.4,0.1,115.56,72.0,43.56
L0349,O0175,2025-03-02,2025-03-06,C043,P107,R02,Online,5,45.56,0.1,205.02,120.0,85.02
L0350,O0175,2025-10-13,2025-10-16,C016,P105,R01,Partner,1,27.28,0.15,23.19,15.0,8.19
L0351,O0176,2025-08-29,2025-09-03,C009,P110,R04,Partner,4,33.06,0.15,112.4,76.0,36.4
L0352,O0176,2025-07-05,2025-07-06,C038,P103,R03,Retail,6,37.67,0,226.02,132.0,94.02
L0353,O0177,2025-05-08,2025-05-11,C034,P108,R03,Partner,7,4.28,0.05,28.46,14.0,14.46
L0354,O0177,2026-01-21,2026-01-22,C016,P103,R01,Partner,1,40.01,0.15,34.01,22.0,12.01
L0355,O0178,2026-10-31,2026-11-02,C048,P107,R01,Retail,3,43.73,0,131.19,72.0,59.19
L0356,O0178,2026-07-03,2026-07-08,C050,P110,R03,Partner,6,34.22,0.05,195.05,114.0,81.05
L0357,O0179,2025-03-15,2025-03-21,C044,P112,R01,Retail,2,32.63,0,65.26,32.0,33.26
L0358,O0179,2025-11-19,2025-11-24,C060,P108,R01,Online,6,4.36,0.05,24.85,12.0,12.85
L0359,O0180,2026-04-14,2026-04-16,C014,P111,R03,Online,4,54.71,0.05,207.9,124.0,83.9
L0360,O0180,2026-02-04,2026-02-10,C024,P108,R01,Retail,2,4.04,0.1,7.27,4.0,3.27
