month,department,account,budget,actual,variance,approval_status
2026-01,IT,IT Services,238592.03,255812.23,17220.2,Approved
2026-01,IT,Training,203400.17,175340.57,-28059.6,Approved
2026-01,IT,Marketing,40872.84,37367.56,-3505.28,Approved
2026-01,IT,Professional Fees,204750.82,224913.73,20162.91,Approved
2026-01,IT,Utilities,50060.1,57112.07,7051.97,Additional Approval
2026-02,Operations,Salaries,67744.78,75158.08,7413.3,Approved
2026-02,Operations,Rent,146282.59,128671.15,-17611.44,Additional Approval
2026-02,Operations,Travel,78296.88,87339.08,9042.2,Approved
2026-02,Operations,IT Services,55298.96,62660.34,7361.38,Additional Approval
2026-02,Operations,Training,176762.17,198190.96,21428.79,Approved
2026-02,Operations,Marketing,184512.91,180836.98,-3675.93,Approved
2026-02,Operations,Professional Fees,266812.88,282542.14,15729.26,Approved
2026-02,Operations,Utilities,233586.92,217543.14,-16043.78,Approved
2026-02,Sales,Salaries,148474.74,111996.11,-36478.63,Additional Approval
2026-02,Sales,Rent,46091.65,47188.61,1096.96,Additional Approval
2026-02,Sales,Travel,237355.68,217479.18,-19876.5,Approved
2026-02,Sales,IT Services,185473.62,159141.04,-26332.58,Additional Approval
2026-02,Sales,Training,207358.45,220076.08,12717.63,Approved
2026-02,Sales,Marketing,114974.47,115402.62,428.15,Additional Approval
2026-02,Sales,Professional Fees,55128.55,69814.7,14686.15,Approved
2026-02,Sales,Utilities,157793.54,138758.17,-19035.37,Approved
2026-02,Finance,Salaries,61770.99,69709.72,7938.73,Approved
2026-02,Finance,Rent,287637.1,325359.95,37722.85,Approved
2026-02,Finance,Travel,273494.0,300638.66,27144.66,Approved
2026-02,Finance,IT Services,293849.44,279482.48,-14366.96,Additional Approval
2026-02,Finance,Training,46747.29,36728.26,-10019.03,Approved
2026-02,Finance,Marketing,264350.47,336789.69,72439.22,Approved
2026-02,Finance,Professional Fees,162507.9,156831.2,-5676.7,Additional Approval
2026-02,Finance,Utilities,277163.28,326889.67,49726.39,Additional Approval
2026-02,IT,Salaries,44829.59,45905.01,1075.42,Additional Approval
2026-02,IT,Rent,60713.57,60253.07,-460.5,Approved
2026-02,IT,Travel,123806.45,138256.97,14450.52,Approved
2026-02,IT,IT Services,252989.61,227493.31,-25496.3,Additional Approval
2026-02,IT,Training,198922.37,221433.25,22510.88,Additional Approval
2026-02,IT,Marketing,144377.04,139946.72,-4430.32,Approved
2026-02,IT,Professional Fees,232872.61,199155.62,-33716.99,Additional Approval
2026-02,IT,Utilities,211497.08,195218.52,-16278.56,Approved
2026-03,Operations,Salaries,66560.27,66844.58,284.31,Approved
2026-03,Operations,Rent,269962.09,220954.02,-49008.07,Additional Approval
2026-03,Operations,Travel,230124.91,196770.78,-33354.13,Approved
2026-03,Operations,IT Services,191973.41,168918.15,-23055.26,Additional Approval
2026-03,Operations,Training,108186.29,126931.49,18745.2,Approved
2026-03,Operations,Marketing,253913.81,237028.39,-16885.42,Approved
2026-03,Operations,Professional Fees,106165.05,124912.54,18747.49,Additional Approval
2026-03,Operations,Utilities,120500.11,100075.51,-20424.6,Approved
2026-03,Sales,Salaries,177546.77,217059.05,39512.28,Approved
2026-03,Sales,Rent,206212.94,185224.68,-20988.26,Approved
2026-03,Sales,Travel,84515.41,63593.57,-20921.84,Approved
2026-03,Sales,IT Services,290408.47,230399.35,-60009.12,Approved
2026-03,Sales,Training,206881.49,243933.15,37051.66,Approved
2026-03,Sales,Marketing,99051.07,80070.7,-18980.37,Additional Approval
2026-03,Sales,Professional Fees,170461.33,162236.41,-8224.92,Additional Approval
2026-03,Sales,Utilities,88971.13,69540.35,-19430.78,Approved
2026-03,Finance,Salaries,83229.83,89868.7,6638.87,Approved
2026-03,Finance,Rent,96406.46,78821.79,-17584.67,Approved
2026-03,Finance,Travel,85607.52,85182.47,-425.05,Additional Approval
2026-03,Finance,IT Services,175624.19,136425.65,-39198.54,Additional Approval
2026-03,Finance,Training,185719.08,169029.64,-16689.44,Additional Approval
2026-03,Finance,Marketing,55802.84,58015.85,2213.01,Additional Approval
2026-03,Finance,Professional Fees,123487.04,137642.62,14155.58,Approved
2026-03,Finance,Utilities,76785.92,88180.55,11394.63,Additional Approval
2026-03,IT,Salaries,195034.64,163669.21,-31365.43,Additional Approval
2026-03,IT,Rent,231563.04,257574.24,26011.2,Approved
2026-03,IT,Travel,210799.96,208289.52,-2510.44,Approved
2026-03,IT,IT Services,200147.52,257909.03,57761.51,Approved
2026-03,IT,Training,129039.68,118373.64,-10666.04,Approved
2026-03,IT,Marketing,119250.33,95011.13,-24239.2,Approved
2026-03,IT,Professional Fees,115527.26,97948.02,-17579.24,Approved
2026-03,IT,Utilities,270215.18,294832.45,24617.27,Approved
2026-04,Operations,Salaries,271756.07,258998.92,-12757.15,Additional Approval
2026-04,Operations,Rent,68701.15,82451.88,13750.73,Approved
2026-04,Operations,Travel,91668.93,91335.71,-333.22,Additional Approval
2026-04,Operations,IT Services,292906.85,243658.73,-49248.12,Approved
2026-04,Operations,Training,227759.71,266091.62,38331.91,Additional Approval
2026-04,Operations,Marketing,65939.68,59147.99,-6791.69,Approved
2026-04,Operations,Professional Fees,206722.52,167384.2,-39338.32,Approved
2026-04,Operations,Utilities,242431.64,279800.66,37369.02,Approved
2026-04,Sales,Salaries,57357.67,43431.78,-13925.89,Additional Approval
2026-04,Sales,Rent,56893.85,59474.66,2580.81,Approved
2026-04,Sales,Travel,149233.13,131946.41,-17286.72,Additional Approval
2026-04,Sales,IT Services,276907.34,225301.77,-51605.57,Approved
2026-04,Sales,Training,179382.81,223953.91,44571.1,Approved
2026-04,Sales,Marketing,196255.81,247734.72,51478.91,Approved
2026-04,Sales,Professional Fees,297729.24,261391.23,-36338.01,Approved
2026-04,Sales,Utilities,80149.65,102516.57,22366.92,Approved
2026-04,Finance,Salaries,267521.56,211052.41,-56469.15,Approved
2026-04,Finance,Rent,103249.45,132588.58,29339.13,Additional Approval
2026-04,Finance,Travel,152764.14,134343.94,-18420.2,Approved
2026-04,Finance,IT Services,180311.26,198534.33,18223.07,Approved
2026-04,Finance,Training,217786.42,274792.2,57005.78,Approved
2026-04,Finance,Marketing,191445.98,190118.89,-1327.09,Approved
2026-04,Finance,Professional Fees,241540.05,193979.56,-47560.49,Approved
2026-04,Finance,Utilities,216985.81,179686.99,-37298.82,Approved
2026-04,IT,Salaries,232022.85,248466.86,16444.01,Approved
2026-04,IT,Rent,232361.92,196102.91,-36259.01,Additional Approval
2026-04,IT,Travel,87810.47,87341.54,-468.93,Additional Approval
2026-04,IT,IT Services,162606.34,136622.66,-25983.68,Approved
2026-04,IT,Training,142557.32,109162.77,-33394.55,Additional Approval
2026-04,IT,Marketing,46110.59,36792.42,-9318.17,Approved
2026-04,IT,Professional Fees,285951.43,323632.63,37681.2,Approved
2026-04,IT,Utilities,94819.01,78322.94,-16496.07,Additional Approval
2026-05,Operations,Salaries,57132.85,53064.93,-4067.92,Approved
2026-05,Operations,Rent,172563.51,193182.48,20618.97,Additional Approval
2026-05,Operations,Travel,78523.08,101069.82,22546.74,Approved
2026-05,Operations,IT Services,188572.5,156529.92,-32042.58,Additional Approval
2026-05,Operations,Training,185146.46,217031.57,31885.11,Approved
2026-05,Operations,Marketing,63070.84,61178.68,-1892.16,Approved
2026-05,Operations,Professional Fees,227281.94,252644.18,25362.24,Approved
2026-05,Operations,Utilities,197493.43,215240.35,17746.92,Approved
2026-05,Sales,Salaries,183490.42,215810.01,32319.59,Additional Approval
2026-05,Sales,Rent,157116.86,132694.11,-24422.75,Approved
2026-05,Sales,Travel,265576.24,258995.96,-6580.28,Additional Approval
2026-05,Sales,IT Services,298665.37,299897.41,1232.04,Additional Approval
2026-05,Sales,Training,237061.59,231157.66,-5903.93,Additional Approval
2026-05,Sales,Marketing,56752.06,71287.68,14535.62,Approved
2026-05,Sales,Professional Fees,199359.0,226335.56,26976.56,Approved
2026-05,Sales,Utilities,187638.97,210505.86,22866.89,Approved
2026-05,Finance,Salaries,124471.77,112970.35,-11501.42,Approved
2026-05,Finance,Rent,209075.58,199434.0,-9641.58,Approved
2026-05,Finance,Travel,230025.99,215730.55,-14295.44,Additional Approval
2026-05,Finance,IT Services,129444.56,105941.83,-23502.73,Approved
2026-05,Finance,Training,296300.03,372991.97,76691.94,Approved
2026-05,Finance,Marketing,289576.23,285568.62,-4007.61,Approved
2026-05,Finance,Professional Fees,220626.15,247588.31,26962.16,Approved
2026-05,Finance,Utilities,243432.94,203928.39,-39504.55,Approved
2026-05,IT,Salaries,257726.94,314641.56,56914.62,Approved
2026-05,IT,Rent,141438.55,159420.96,17982.41,Approved
2026-05,IT,Travel,196124.85,181133.25,-14991.6,Approved
2026-05,IT,IT Services,188224.24,240490.87,52266.63,Approved
2026-05,IT,Training,154408.89,117900.89,-36508.0,Approved
2026-05,IT,Marketing,293428.21,262408.12,-31020.09,Additional Approval
2026-05,IT,Professional Fees,103972.1,83379.77,-20592.33,Approved
2026-05,IT,Utilities,113766.25,139876.39,26110.14,Additional Approval
2026-06,Operations,Salaries,81855.05,85761.06,3906.01,Additional Approval
2026-06,Operations,Rent,100989.47,81812.17,-19177.3,Approved
2026-06,Operations,Travel,284259.75,262550.59,-21709.16,Approved
2026-06,Operations,IT Services,211972.79,170276.79,-41696.0,Additional Approval
2026-06,Operations,Training,236643.55,211832.96,-24810.59,Approved
2026-06,Operations,Marketing,293768.02,346353.34,52585.32,Additional Approval
2026-06,Operations,Professional Fees,146876.59,128440.84,-18435.75,Approved
2026-06,Operations,Utilities,149048.05,131903.61,-17144.44,Approved
2026-06,Sales,Salaries,263369.01,216171.45,-47197.56,Additional Approval
2026-06,Sales,Rent,282644.02,270932.95,-11711.07,Approved
2026-06,Sales,Travel,110902.82,133519.37,22616.55,Approved
2026-06,Sales,IT Services,189040.81,211168.68,22127.87,Approved
2026-06,Sales,Training,90814.44,91697.61,883.17,Approved
2026-06,Sales,Marketing,167424.89,161885.11,-5539.78,Approved
2026-06,Sales,Professional Fees,235014.75,194760.73,-40254.02,Approved
2026-06,Sales,Utilities,81118.56,80345.65,-772.91,Approved
2026-06,Finance,Salaries,163041.2,203373.42,40332.22,Additional Approval
2026-06,Finance,Rent,119605.42,97383.19,-22222.23,Approved
2026-06,Finance,Travel,171885.4,137590.69,-34294.71,Approved
2026-06,Finance,IT Services,160129.59,186189.68,26060.09,Additional Approval
2026-06,Finance,Training,77780.45,100506.5,22726.05,Approved
2026-06,Finance,Marketing,197684.64,249737.25,52052.61,Approved
2026-06,Finance,Professional Fees,176958.07,223670.92,46712.85,Approved
2026-06,Finance,Utilities,116383.68,89669.1,-26714.58,Approved
2026-06,IT,Salaries,222999.03,287456.97,64457.94,Additional Approval
2026-06,IT,Rent,213379.33,241184.79,27805.46,Additional Approval
2026-06,IT,Travel,90132.81,95581.72,5448.91,Approved
2026-06,IT,IT Services,191874.7,160879.33,-30995.37,Approved
2026-06,IT,Training,252723.75,300630.39,47906.64,Additional Approval
2026-06,IT,Marketing,269897.3,244008.14,-25889.16,Additional Approval
2026-06,IT,Professional Fees,206590.22,236728.25,30138.03,Additional Approval
2026-06,IT,Utilities,163360.21,156049.84,-7310.37,Approved
2026-07,Operations,Salaries,186715.65,229543.41,42827.76,Additional Approval
2026-07,Operations,Rent,154801.6,167832.38,13030.78,Approved
2026-07,Operations,Travel,175555.71,227489.68,51933.97,Approved
2026-07,Operations,IT Services,274498.73,206808.64,-67690.09,Approved
2026-07,Operations,Training,48582.05,50985.22,2403.17,Approved
2026-07,Operations,Marketing,167149.22,191669.73,24520.51,Additional Approval
2026-07,Operations,Professional Fees,233397.99,256591.83,23193.84,Additional Approval
2026-07,Operations,Utilities,86761.22,107557.45,20796.23,Approved
2026-07,Sales,Salaries,112249.07,108068.7,-4180.37,Additional Approval
2026-07,Sales,Rent,84661.95,81367.41,-3294.54,Approved
2026-07,Sales,Travel,94835.97,118710.28,23874.31,Approved
2026-07,Sales,IT Services,182972.17,208282.33,25310.16,Additional Approval
2026-07,Sales,Training,205881.02,213467.91,7586.89,Approved
2026-07,Sales,Marketing,295882.44,258786.86,-37095.58,Approved
2026-07,Sales,Professional Fees,68173.37,54683.53,-13489.84,Additional Approval
2026-07,Sales,Utilities,95922.26,116910.26,20988.0,Approved
2026-07,Finance,Salaries,245398.2,234654.42,-10743.78,Approved
2026-07,Finance,Rent,211323.29,195923.42,-15399.87,Approved
2026-07,Finance,Travel,255522.06,243715.26,-11806.8,Approved
2026-07,Finance,IT Services,185295.47,216967.0,31671.53,Approved
2026-07,Finance,Training,70384.49,60902.53,-9481.96,Approved
2026-07,Finance,Marketing,138255.03,114213.17,-24041.86,Additional Approval
2026-07,Finance,Professional Fees,177460.25,134526.06,-42934.19,Approved
2026-07,Finance,Utilities,55092.0,67339.82,12247.82,Approved
2026-07,IT,Salaries,252047.63,306851.86,54804.23,Approved
2026-07,IT,Rent,102654.13,131743.21,29089.08,Additional Approval
2026-07,IT,Travel,133162.39,124580.2,-8582.19,Additional Approval
2026-07,IT,IT Services,59516.01,74124.78,14608.77,Approved
2026-07,IT,Training,215511.85,221051.7,5539.85,Approved
2026-07,IT,Marketing,188377.26,201863.66,13486.4,Approved
2026-07,IT,Professional Fees,157335.66,169553.42,12217.76,Approved
2026-07,IT,Utilities,272955.88,297760.33,24804.45,Additional Approval
2026-08,Operations,Salaries,292530.55,245606.62,-46923.93,Additional Approval
2026-08,Operations,Rent,253564.36,268210.12,14645.76,Approved
2026-08,Operations,Travel,136023.58,134554.52,-1469.06,Approved
2026-08,Operations,IT Services,93174.74,70468.84,-22705.9,Additional Approval
2026-08,Operations,Training,61466.28,48333.74,-13132.54,Additional Approval
2026-08,Operations,Marketing,60734.54,60473.81,-260.73,Additional Approval
2026-08,Operations,Professional Fees,41121.73,34902.68,-6219.05,Additional Approval
2026-08,Operations,Utilities,254911.2,282148.5,27237.3,Approved
2026-08,Sales,Salaries,276344.77,301398.05,25053.28,Approved
2026-08,Sales,Rent,110623.58,105414.6,-5208.98,Approved
2026-08,Sales,Travel,239719.07,274636.04,34916.97,Additional Approval
2026-08,Sales,IT Services,271870.64,214696.99,-57173.65,Additional Approval
2026-08,Sales,Training,155895.86,179698.72,23802.86,Approved
2026-08,Sales,Marketing,261741.62,203350.65,-58390.97,Approved
2026-08,Sales,Professional Fees,182754.14,224376.5,41622.36,Approved
2026-08,Sales,Utilities,96993.14,118215.0,21221.86,Approved
2026-08,Finance,Salaries,91631.28,93328.06,1696.78,Approved
2026-08,Finance,Rent,81021.22,61556.27,-19464.95,Additional Approval
2026-08,Finance,Travel,288568.79,314335.36,25766.57,Approved
2026-08,Finance,IT Services,79380.99,69348.18,-10032.81,Approved
2026-08,Finance,Training,170521.25,214880.22,44358.97,Additional Approval
2026-08,Finance,Marketing,145090.24,161631.85,16541.61,Additional Approval
2026-08,Finance,Professional Fees,238837.95,247603.5,8765.55,Additional Approval
2026-08,Finance,Utilities,87444.25,76232.61,-11211.64,Approved
2026-08,IT,Salaries,154716.69,177639.86,22923.17,Approved
2026-08,IT,Rent,103930.25,106564.43,2634.18,Additional Approval
2026-08,IT,Travel,273715.75,262371.87,-11343.88,Additional Approval
2026-08,IT,IT Services,79911.18,81867.88,1956.7,Approved
2026-08,IT,Training,79983.09,103544.05,23560.96,Approved
2026-08,IT,Marketing,168368.71,209578.97,41210.26,Approved
2026-08,IT,Professional Fees,176812.74,218207.08,41394.34,Approved
2026-08,IT,Utilities,198669.48,170350.6,-28318.88,Approved
2026-09,Operations,Salaries,214740.0,199867.08,-14872.92,Additional Approval
2026-09,Operations,Rent,119737.59,140771.69,21034.1,Approved
2026-09,Operations,Travel,232431.79,295010.48,62578.69,Approved
2026-09,Operations,IT Services,245535.5,294802.1,49266.6,Approved
2026-09,Operations,Training,128543.28,146163.01,17619.73,Approved
2026-09,Operations,Marketing,185021.28,217593.56,32572.28,Additional Approval
2026-09,Operations,Professional Fees,130282.61,115266.57,-15016.04,Additional Approval
2026-09,Operations,Utilities,240870.47,182839.03,-58031.44,Additional Approval
2026-09,Sales,Salaries,295811.52,313740.95,17929.43,Approved
2026-09,Sales,Rent,250445.9,198340.53,-52105.37,Approved
2026-09,Sales,Travel,149423.92,155459.22,6035.3,Additional Approval
2026-09,Sales,IT Services,167467.19,146802.95,-20664.24,Approved
2026-09,Sales,Training,129706.31,101451.56,-28254.75,Additional Approval
2026-09,Sales,Marketing,186545.96,242344.52,55798.56,Approved
2026-09,Sales,Professional Fees,170439.85,208250.68,37810.83,Approved
2026-09,Sales,Utilities,256835.19,245731.33,-11103.86,Approved
2026-09,Finance,Salaries,227474.87,223515.7,-3959.17,Approved
2026-09,Finance,Rent,55413.74,46158.41,-9255.33,Additional Approval
2026-09,Finance,Travel,261887.42,315360.35,53472.93,Approved
2026-09,Finance,IT Services,67831.22,61447.44,-6383.78,Approved
2026-09,Finance,Training,198780.12,184388.27,-14391.85,Approved
2026-09,Finance,Marketing,40371.65,31621.08,-8750.57,Approved
2026-09,Finance,Professional Fees,196541.45,197161.99,620.54,Additional Approval
2026-09,Finance,Utilities,47334.37,49069.26,1734.89,Approved
2026-09,IT,Salaries,87403.69,102480.65,15076.96,Additional Approval
2026-09,IT,Rent,92121.06,108151.91,16030.85,Approved
2026-09,IT,Travel,297903.93,274002.43,-23901.5,Approved
2026-09,IT,IT Services,43495.81,33410.69,-10085.12,Additional Approval
2026-09,IT,Training,168273.77,149623.52,-18650.25,Additional Approval
2026-09,IT,Marketing,48538.38,48820.81,282.43,Additional Approval
2026-09,IT,Professional Fees,203756.37,210274.58,6518.21,Additional Approval
2026-09,IT,Utilities,156111.04,197573.34,41462.3,Approved
2026-10,Operations,Salaries,87928.43,81654.87,-6273.56,Additional Approval
2026-10,Operations,Rent,86727.15,97988.11,11260.96,Additional Approval
2026-10,Operations,Travel,214035.25,272213.37,58178.12,Approved
2026-10,Operations,IT Services,292672.96,269234.51,-23438.45,Approved
2026-10,Operations,Training,140455.44,153767.22,13311.78,Approved
2026-10,Operations,Marketing,63516.76,50195.73,-13321.03,Additional Approval
2026-10,Operations,Professional Fees,249061.27,239151.85,-9909.42,Approved
2026-10,Operations,Utilities,123054.08,158296.07,35241.99,Additional Approval
2026-10,Sales,Salaries,58385.03,53987.46,-4397.57,Approved
2026-10,Sales,Rent,50622.73,58377.37,7754.64,Approved
2026-10,Sales,Travel,244011.46,218259.72,-25751.74,Approved
2026-10,Sales,IT Services,275017.74,270219.75,-4797.99,Approved
2026-10,Sales,Training,138148.44,174281.58,36133.14,Approved
2026-10,Sales,Marketing,76613.92,60001.16,-16612.76,Approved
2026-10,Sales,Professional Fees,110257.92,116866.47,6608.55,Approved
2026-10,Sales,Utilities,235069.68,214983.86,-20085.82,Additional Approval
2026-10,Finance,Salaries,97216.73,115242.27,18025.54,Approved
2026-10,Finance,Rent,96218.13,111721.05,15502.92,Approved
2026-10,Finance,Travel,150722.36,195172.91,44450.55,Approved
2026-10,Finance,IT Services,144045.35,123280.71,-20764.64,Additional Approval
2026-10,Finance,Training,229918.59,189481.0,-40437.59,Approved
2026-10,Finance,Marketing,283809.66,241205.77,-42603.89,Approved
2026-10,Finance,Professional Fees,191595.89,147772.56,-43823.33,Approved
2026-10,Finance,Utilities,238449.96,252998.21,14548.25,Approved
2026-10,IT,Salaries,115366.29,125479.51,10113.22,Additional Approval
2026-10,IT,Rent,198780.28,152666.64,-46113.64,Approved
2026-10,IT,Travel,120981.5,113387.89,-7593.61,Approved
2026-10,IT,IT Services,240396.44,213647.63,-26748.81,Approved
2026-10,IT,Training,167916.21,168279.37,363.16,Approved
2026-10,IT,Marketing,177355.9,205830.66,28474.76,Approved
2026-10,IT,Professional Fees,244194.28,222763.11,-21431.17,Approved
2026-10,IT,Utilities,269507.89,208952.79,-60555.1,Approved
2026-11,Operations,Salaries,283675.22,261891.67,-21783.55,Approved
2026-11,Operations,Rent,222016.55,220784.3,-1232.25,Approved
2026-11,Operations,Travel,69580.89,84025.36,14444.47,Approved
2026-11,Operations,IT Services,74459.02,74997.85,538.83,Additional Approval
2026-11,Operations,Training,271886.56,212924.47,-58962.09,Approved
2026-11,Operations,Marketing,94331.2,107973.36,13642.16,Approved
2026-11,Operations,Professional Fees,262373.21,283683.65,21310.44,Additional Approval
2026-11,Operations,Utilities,79339.25,88325.06,8985.81,Additional Approval
2026-11,Sales,Salaries,66869.03,59363.56,-7505.47,Approved
2026-11,Sales,Rent,161653.32,129022.42,-32630.9,Approved
2026-11,Sales,Travel,92372.35,111034.45,18662.1,Approved
2026-11,Sales,IT Services,42692.87,52447.28,9754.41,Approved
2026-11,Sales,Training,141278.87,148594.02,7315.15,Approved
2026-11,Sales,Marketing,160002.14,164365.56,4363.42,Approved
2026-11,Sales,Professional Fees,277434.24,254721.31,-22712.93,Approved
2026-11,Sales,Utilities,169789.12,144077.15,-25711.97,Approved
2026-11,Finance,Salaries,89135.52,93149.33,4013.81,Approved
2026-11,Finance,Rent,138125.34,125261.15,-12864.19,Approved
2026-11,Finance,Travel,134246.05,115821.87,-18424.18,Additional Approval
2026-11,Finance,IT Services,244041.77,263776.86,19735.09,Approved
2026-11,Finance,Training,209086.83,190977.24,-18109.59,Additional Approval
2026-11,Finance,Marketing,275185.15,337815.89,62630.74,Approved
2026-11,Finance,Professional Fees,67459.98,62461.32,-4998.66,Additional Approval
2026-11,Finance,Utilities,134488.51,159508.56,25020.05,Approved
2026-11,IT,Salaries,168562.82,185980.1,17417.28,Approved
2026-11,IT,Rent,78488.94,90652.5,12163.56,Additional Approval
2026-11,IT,Travel,188066.39,233421.36,45354.97,Approved
2026-11,IT,IT Services,231811.78,245081.07,13269.29,Approved
2026-11,IT,Training,102892.05,106604.39,3712.34,Approved
2026-11,IT,Marketing,240877.04,301623.28,60746.24,Approved
2026-11,IT,Professional Fees,148451.27,141082.52,-7368.75,Approved
2026-11,IT,Utilities,247104.66,198899.13,-48205.53,Approved
2026-12,Operations,Salaries,163056.56,133712.73,-29343.83,Additional Approval
2026-12,Operations,Rent,93853.01,81875.38,-11977.63,Additional Approval
2026-12,Operations,Travel,105879.34,117973.72,12094.38,Approved
2026-12,Operations,IT Services,174871.86,224543.81,49671.95,Approved
2026-12,Operations,Training,285019.72,256991.33,-28028.39,Approved
2026-12,Operations,Marketing,280625.68,284329.29,3703.61,Additional Approval
2026-12,Operations,Professional Fees,171491.36,218621.99,47130.63,Approved
2026-12,Operations,Utilities,203441.73,195092.66,-8349.07,Approved
2026-12,Sales,Salaries,164140.33,202599.85,38459.52,Approved
2026-12,Sales,Rent,144077.58,140114.93,-3962.65,Additional Approval
2026-12,Sales,Travel,42184.48,32667.17,-9517.31,Approved
2026-12,Sales,IT Services,153156.99,131575.86,-21581.13,Approved
2026-12,Sales,Training,91534.51,110437.75,18903.24,Approved
2026-12,Sales,Marketing,277209.74,358239.08,81029.34,Approved
2026-12,Sales,Professional Fees,162379.42,186339.51,23960.09,Approved
2026-12,Sales,Utilities,228840.22,225436.21,-3404.01,Approved
2026-12,Finance,Salaries,105519.07,97834.35,-7684.72,Additional Approval
2026-12,Finance,Rent,173413.5,202112.31,28698.81,Approved
2026-12,Finance,Travel,248320.37,192924.03,-55396.34,Approved
2026-12,Finance,IT Services,207303.2,247727.88,40424.68,Additional Approval
2026-12,Finance,Training,231843.41,259469.4,27625.99,Approved
2026-12,Finance,Marketing,148448.87,143711.91,-4736.96,Approved
2026-12,Finance,Professional Fees,263034.9,304885.32,41850.42,Approved
2026-12,Finance,Utilities,94947.27,111429.38,16482.11,Approved
2026-12,IT,Salaries,289970.17,372799.93,82829.76,Approved
2026-12,IT,Rent,206989.83,159659.99,-47329.84,Approved
2026-12,IT,Travel,171205.79,145201.86,-26003.93,Additional Approval
2026-12,IT,IT Services,237191.23,289133.84,51942.61,Approved
2026-12,IT,Training,167427.27,178640.82,11213.55,Approved
2026-12,IT,Marketing,166043.26,163272.13,-2771.13,Additional Approval
2026-12,IT,Professional Fees,137641.44,108348.6,-29292.84,Additional Approval
2026-12,IT,Utilities,236338.57,200511.65,-35826.92,Additional Approval
